titulo,titulo_normalizado,categoria_estimada,energia_kcal_100g,proteinas_100g,hidratos_100g,grasas_100g,grasas_saturadas_100g,azucares_100g,fibra_100g,sal_100g,energia_calculada_kcal,energia_error_pct,energia_consistente,densidad_proteica_kcal,densidad_carbohidrato_kcal,densidad_grasa_kcal,energy_source,data_quality
Barra de pan tradicional,barra de pan tradicional,carbohidratos,252,9.5,48.9,2,0.4,3,3.7,1.18,251.6,0.00159,True,0.037698,0.194048,0.007937,original,ok
Barra pan de aceite de oliva,barra pan de aceite de oliva,carbohidratos,308,8.5,53,6.2,1,2.6,,1.7,301.8,0.020543,True,0.027597,0.172078,0.02013,original,ok
Barra pan de aceite de oliva rebanada,barra pan de aceite de oliva rebanada,carbohidratos,308,8.5,53,6.2,1,2.6,,1.7,301.8,0.020543,True,0.027597,0.172078,0.02013,original,ok
Barra pan de agua,barra pan de agua,carbohidratos,1532.1,25.5,280.7,44.6,19.1,114.6,12.9,1785.7,1626.2,0.057865,True,0.016644,0.183213,0.02911,original,suspicious_values
Barra pan de agua rebanada,barra pan de agua rebanada,carbohidratos,1532.1,25.5,280.7,44.6,19.1,114.6,12.9,1785.7,1626.2,0.057865,True,0.016644,0.183213,0.02911,original,suspicious_values
Barrita con proteínas Enervit Sport sabor chocolate con leche,barrita con proteínas enervit sport sabor chocolate con leche,otros,435,33.3,38.3,16.7,9,1.83,,0.196,436.7,0.003893,True,0.076552,0.088046,0.038391,original,ok
"Barritas Peanuts Hacendado bañadas de chocolate con leche y rellenas con caramelo, cacahuetes tostados y crema azucarada","barritas peanuts hacendado bañadas de chocolate con leche y rellenas con caramelo, cacahuetes tostados y crema azucarada",otros,502,9.5,52,28,12,42,,0.57,498,0.008032,True,0.018924,0.103586,0.055777,original,ok
Barritas con proteínas Enervit Sport sabor coco y chocolate,barritas con proteínas enervit sport sabor coco y chocolate,otros,398,26,48,11,5,34,,1.0825,395,0.007595,True,0.065327,0.120603,0.027638,original,ok
Barritas crujientes Hacendado bañadas de chocolate con leche,barritas crujientes hacendado bañadas de chocolate con leche,otros,547,7.11,53.3,32.9,23.1,43.1,,0.211,537.74,0.01722,True,0.012998,0.097441,0.060146,original,ok
Barritas de avena Crunchy Nature Valley con chocolate negro,barritas de avena crunchy nature valley con chocolate negro,carbohidratos,473,8.7,61.5,19.8,3.4,26.8,7,0.64,459,0.030501,True,0.018393,0.130021,0.04186,original,ok
Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche,barritas de barquillo hacendado con relleno de avellana cubiertas de chocolate con leche,otros,573,7.9,50,37,18,41,,0.248,564.6,0.014878,True,0.013787,0.08726,0.064572,original,ok
Barritas de barquillo Huesitos bañadas de chocolate con leche,barritas de barquillo huesitos bañadas de chocolate con leche,otros,502,6.5,66,23,13,42,,0.32,497,0.01006,True,0.012948,0.131474,0.045817,original,ok
Barritas de barquillo Kit-Kat bañadas de chocolate con leche,barritas de barquillo kit-kat bañadas de chocolate con leche,otros,504,7.5,61.6,24.7,14,48.7,2.3,0.225,498.7,0.010628,True,0.014881,0.122222,0.049008,original,ok
Barritas de barquillo Meivel rellenas de turrón Viena y cacahuete,barritas de barquillo meivel rellenas de turrón viena y cacahuete,otros,529,7,58,30,15,39,,0.09,530,0.001887,True,0.013233,0.109641,0.056711,original,ok
Barritas de barquillo Total Choc Hacendado bañadas de chocolate con leche,barritas de barquillo total choc hacendado bañadas de chocolate con leche,otros,1532.1,12.8,229.6,63.9,38.2,102.1,12.9,575,1544.7,0.008157,True,0.008355,0.14986,0.041707,original,suspicious_values
Barritas de cereales Hacendado chocolate con leche,barritas de cereales hacendado chocolate con leche,carbohidratos,345,6.5,54,9.9,6.1,27,7.4,0.82,331.1,0.041981,True,0.018841,0.156522,0.028696,original,ok
Barritas de cereales Hacendado con chocolate blanco,barritas de cereales hacendado con chocolate blanco,carbohidratos,429,5.19,60.8,16,9.91,25,9.43,0.52,407.96,0.051574,True,0.012098,0.141725,0.037296,original,ok
